2014-02-05T09:20:00;Po1;952.11;836.12
2014-02-05T09:25:00;Po1;493.06;437.70
2014-02-05T09:30:00;Po1;487.16;429.98
2014-02-05T09:35:00;Po1;494.12;433.24
2014-02-05T09:40:00;Po1;493.67;425.35
2014-02-05T09:45:00;Po1;486.21;440.99
2014-02-05T09:50:00;Po1;490.02;427.87
2014-02-05T09:55:00;Po1;480.04;404.18
2014-02-05T10:00:00;Po1;483.93;433.04
2014-02-05T10:05:00;Po1;498.70;441.17
2014-02-05T10:10:00;Po1;504.39;460.57
2014-02-05T10:15:00;Po1;491.09;437.37
2014-02-05T10:20:00;Po1;483.54;428.59
2014-02-05T10:25:00;Po1;506.12;436.12
2014-02-05T10:30:00;Po1;494.64;405.23
2014-02-05T10:35:00;Po1;492.75;424.43
2014-02-05T10:40:00;Po1;492.08;456.18
2014-02-05T10:45:00;Po1;478.24;486.96
2014-02-05T10:50:00;Po1;488.68;456.85
2014-02-05T10:55:00;Po1;464.40;409.35
2014-02-05T11:00:00;Po1;458.44;398.47
2014-02-05T11:05:00;Po1;459.96;413.08
2014-02-05T11:10:00;Po1;463.22;432.84
2014-02-05T11:15:00;Po1;906.49;841.37
2014-02-05T11:20:00;Po1;489.11;440.00
2014-02-05T11:25:00;Po1;431.97;392.06
2014-02-05T11:30:00;Po1;936.49;824.68
2014-02-05T11:35:00;Po1;457.60;414.14
2014-02-05T11:40:00;Po1;474.90;424.19
2014-02-05T11:45:00;Po1;464.01;407.11
2014-02-05T11:50:00;Po1;445.51;392.10
2014-02-05T11:55:00;Po1;455.75;398.19
2014-02-05T12:00:00;Po1;456.61;381.54
2014-02-05T12:05:00;Po1;447.27;376.05
2014-02-05T12:10:00;Po1;867.26;693.99
2014-02-05T12:15:00;Po1;849.85;616.64
2014-02-05T12:20:00;Po1;421.58;290.78
2014-02-05T12:25:00;Po1;840.90;566.44
2014-02-05T12:30:00;Po1;416.21;275.01
2014-02-05T12:35:00;Po1;414.20;270.98
2014-02-05T12:40:00;Po1;851.65;562.99
2014-02-05T12:45:00;Po1;403.08;262.19
2014-02-05T12:50:00;Po1;806.96;542.17
2014-02-05T12:55:00;Po1;805.54;548.08
